Date,Oahu,Hawaii,Maui,Kauai
2020-03-05,1,0.0,0.0,0.0
2020-03-06,0,0.0,0.0,0.0
2020-03-07,0,0.0,0.0,0.0
2020-03-08,1,0.0,0.0,0.0
2020-03-09,0,0.0,0.0,0.0
2020-03-10,0,0.0,0.0,0.0
2020-03-11,0,0.0,0.0,0.0
2020-03-12,0,0.0,0.0,0.0
2020-03-13,0,0.0,0.0,2.0
2020-03-14,2,0.0,1.0,0.0
2020-03-15,2,0.0,1.0,0.0
2020-03-16,1,0.0,0.0,0.0
2020-03-17,3,1.0,1.0,0.0
2020-03-18,4,0.0,2.0,0.0
2020-03-19,16,0.0,0.0,1.0
2020-03-20,6,2.0,2.0,0.0
2020-03-21,8,0.0,2.0,0.0
2020-03-22,16,1.0,2.0,1.0
2020-03-23,12,1.0,1.0,0.0
2020-03-24,7,0.0,1.0,1.0
2020-03-25,15,1.0,1.0,0.0
2020-03-26,13,2.0,2.0,0.0
2020-03-27,23,5.0,1.0,6.0
2020-03-28,17,4.0,6.0,1.0
2020-03-29,25,1.0,5.0,0.0
2020-03-30,20,0.0,2.0,0.0
2020-03-31,27,3.0,1.0,0.0
2020-04-01,25,0.0,2.0,1.0
2020-04-02,28,2.0,7.0,2.0
2020-04-03,19,2.0,2.0,0.0
2020-04-04,9,0.0,5.0,1.0
2020-04-05,12,1.0,4.0,1.0
2020-04-06,16,1.0,4.0,1.0
2020-04-07,11,3.0,6.0,1.0
2020-04-08,7,0.0,2.0,0.0
2020-04-09,4,1.0,6.0,0.0
2020-04-10,5,3.0,12.0,0.0
2020-04-11,3,5.0,4.0,2.0
2020-04-12,1,1.0,2.0,0.0
2020-04-13,4,1.0,1.0,0.0
2020-04-14,9,0.0,2.0,0.0
2020-04-15,6,0.0,5.0,0.0
2020-04-16,4,3.0,2.0,0.0
2020-04-17,1,16.0,3.0,0.0
2020-04-18,3,2.0,3.0,0.0
2020-04-19,0,2.0,2.0,0.0
2020-04-20,0,0.0,2.0,0.0
2020-04-21,2,3.0,1.0,0.0
2020-04-22,2,1.0,2.0,0.0
2020-04-23,1,1.0,1.0,0.0
2020-04-24,2,0.0,0.0,0.0
2020-04-25,1,1.0,0.0,0.0
2020-04-26,0,0.0,1.0,0.0
2020-04-27,0,0.0,1.0,0.0
2020-04-28,3,0.0,1.0,0.0
2020-04-29,0,3.0,1.0,0.0
2020-04-30,1,0.0,0.0,0.0
2020-05-01,0,0.0,0.0,0.0
2020-05-02,1,1.0,1.0,0.0
2020-05-03,0,1.0,0.0,0.0
2020-05-04,3,0.0,0.0,0.0
2020-05-05,1,0.0,0.0,0.0
2020-05-06,2,0.0,0.0,0.0
2020-05-07,0,0.0,0.0,0.0
2020-05-08,1,0.0,1.0,0.0
2020-05-09,1,0.0,0.0,0.0
2020-05-10,2,0.0,0.0,0.0
2020-05-11,1,0.0,0.0,0.0
2020-05-12,3,0.0,0.0,0.0
2020-05-13,0,0.0,0.0,0.0
2020-05-14,0,0.0,0.0,0.0
2020-05-15,1,1.0,0.0,0.0
2020-05-16,0,1.0,0.0,0.0
2020-05-17,0,0.0,0.0,0.0
2020-05-18,0,1.0,0.0,0.0
2020-05-19,1,0.0,0.0,0.0
2020-05-20,0,3.0,1.0,0.0
2020-05-21,0,0.0,0.0,0.0
2020-05-22,0,0.0,1.0,0.0
2020-05-23,0,0.0,0.0,0.0
2020-05-24,0,0.0,0.0,0.0
2020-05-25,0,0.0,0.0,0.0
2020-05-26,0,0.0,0.0,0.0
2020-05-27,2,0.0,0.0,0.0
2020-05-28,3,0.0,0.0,0.0
2020-05-29,2,0.0,1.0,0.0
2020-05-30,0,0.0,0.0,0.0
2020-05-31,0,0.0,0.0,0.0
2020-06-01,1,0.0,0.0,0.0
2020-06-02,1,0.0,0.0,0.0
2020-06-03,1,0.0,0.0,0.0
2020-06-04,6,0.0,0.0,0.0
2020-06-05,8,0.0,0.0,0.0
2020-06-06,1,0.0,0.0,0.0
2020-06-07,1,0.0,0.0,0.0
2020-06-08,6,0.0,0.0,0.0
2020-06-09,4,0.0,0.0,0.0
2020-06-10,6,0.0,0.0,0.0
2020-06-11,15,0.0,0.0,0.0
2020-06-12,17,0.0,0.0,0.0
2020-06-13,4,1.0,0.0,0.0
2020-06-14,8,0.0,0.0,0.0
2020-06-15,3,0.0,0.0,0.0
2020-06-16,4,1.0,0.0,0.0
2020-06-17,18,0.0,0.0,0.0
2020-06-18,24,0.0,1.0,1.0
2020-06-19,4,0.0,1.0,7.0
2020-06-20,8,2.0,0.0,0.0
2020-06-21,4,0.0,0.0,0.0
2020-06-22,3,0.0,0.0,0.0
2020-06-23,12,1.0,0.0,0.0
2020-06-24,12,0.0,0.0,3.0
2020-06-25,14,0.0,0.0,2.0
2020-06-26,5,0.0,0.0,1.0
2020-06-27,23,1.0,0.0,2.0
2020-06-28,2,0.0,0.0,0.0
2020-06-29,16,0.0,1.0,1.0
2020-06-30,5,0.0,2.0,0.0
2020-07-01,17,3.0,0.0,0.0
2020-07-02,25,1.0,2.0,0.0
2020-07-03,19,2.0,1.0,2.0
2020-07-04,25,0.0,0.0,0.0
2020-07-05,6,1.0,0.0,0.0
2020-07-06,38,1.0,0.0,2.0
2020-07-07,19,1.0,2.0,0.0
2020-07-08,32,1.0,0.0,1.0
2020-07-09,25,1.0,1.0,0.0
2020-07-10,37,2.0,2.0,0.0
2020-07-11,18,1.0,1.0,0.0
2020-07-12,18,1.0,1.0,0.0
2020-07-13,19,3.0,0.0,0.0
2020-07-14,26,2.0,0.0,0.0
2020-07-15,19,0.0,0.0,0.0
2020-07-16,21,2.0,0.0,0.0
2020-07-17,18,1.0,0.0,0.0
2020-07-18,26,2.0,0.0,0.0
2020-07-19,11,1.0,0.0,0.0
2020-07-20,21,0.0,3.0,0.0
2020-07-21,17,0.0,0.0,0.0
2020-07-22,50,2.0,2.0,0.0
2020-07-23,57,0.0,1.0,0.0
2020-07-24,65,0.0,4.0,0.0
2020-07-25,55,0.0,7.0,2.0
2020-07-26,28,0.0,0.0,0.0
2020-07-27,46,0.0,1.0,0.0
2020-07-28,99,0.0,9.0,2.0
2020-07-29,119,0.0,4.0,0.0
2020-07-30,119,0.0,3.0,0.0
2020-07-31,87,0.0,0.0,0.0
2020-08-01,44,0.0,1.0,0.0
2020-08-02,198,2.0,7.0,0.0
2020-08-03,139,4.0,0.0,0.0
2020-08-04,171,0.0,0.0,0.0
2020-08-05,147,1.0,2.0,0.0
2020-08-06,200,0.0,1.0,0.0
2020-08-07,222,4.0,3.0,0.0
2020-08-08,146,3.0,1.0,1.0
2020-08-09,138,0.0,1.0,1.0
2020-08-10,115,1.0,4.0,0.0
2020-08-11,195,2.0,1.0,2.0
2020-08-12,342,4.0,6.0,1.0
2020-08-13,217,4.0,9.0,1.0
2020-08-14,272,3.0,7.0,1.0
2020-08-15,200,4.0,14.0,0.0
2020-08-16,164,2.0,8.0,0.0
2020-08-17,125,3.0,6.0,0.0
2020-08-18,233,7.0,21.0,0.0
2020-08-19,228,5.0,2.0,0.0
2020-08-20,209,13.0,6.0,2.0
2020-08-21,256,15.0,9.0,0.0
2020-08-22,227,8.0,12.0,0.0
2020-08-23,151,9.0,9.0,0.0
2020-08-24,201,11.0,3.0,0.0
2020-08-25,244,23.0,8.0,0.0
2020-08-26,289,10.0,7.0,0.0
2020-08-27,231,26.0,6.0,0.0
2020-08-28,264,39.0,7.0,0.0
2020-08-29,173,22.0,4.0,0.0
2020-08-30,104,25.0,1.0,0.0
2020-08-31,156,18.0,5.0,0.0
2020-09-01,303,34.0,2.0,0.0
2020-09-02,188,17.0,3.0,0.0
2020-09-03,233,33.0,1.0,0.0
2020-09-04,190,24.0,4.0,1.0
2020-09-05,145,13.0,3.0,0.0
2020-09-06,89,11.0,4.0,0.0
2020-09-07,58,6.0,2.0,0.0
2020-09-08,86,13.0,1.0,0.0
2020-09-09,157,7.0,3.0,0.0
2020-09-10,143,20.0,4.0,0.0
2020-09-11,112,8.0,7.0,0.0
2020-09-12,93,19.0,2.0,0.0
2020-09-13,71,7.0,2.0,0.0
2020-09-14,60,5.0,0.0,0.0
2020-09-15,94,4.0,0.0,0.0
2020-09-16,134,19.0,3.0,0.0
2020-09-17,109,10.0,0.0,0.0
2020-09-18,103,7.0,2.0,0.0
2020-09-19,71,5.0,1.0,0.0
2020-09-20,49,6.0,0.0,0.0
2020-09-21,54,9.0,0.0,0.0
2020-09-22,154,12.0,1.0,0.0
2020-09-23,82,6.0,2.0,0.0
2020-09-24,96,14.0,0.0,1.0
2020-09-25,123,3.0,0.0,1.0
2020-09-26,88,7.0,0.0,0.0
2020-09-27,90,0.0,0.0,0.0
2020-09-28,80,3.0,2.0,0.0
2020-09-29,94,26.0,1.0,0.0
2020-09-30,101,6.0,0.0,0.0
2020-10-01,70,16.0,0.0,0.0
2020-10-02,87,43.0,3.0,0.0
2020-10-03,53,15.0,1.0,0.0
2020-10-04,41,10.0,0.0,0.0
2020-10-05,67,13.0,1.0,0.0
2020-10-06,90,18.0,1.0,0.0
2020-10-07,86,14.0,1.0,0.0
2020-10-08,108,44.0,0.0,0.0
2020-10-09,59,14.0,0.0,0.0
2020-10-10,79,24.0,0.0,0.0
2020-10-11,37,5.0,0.0,0.0
